keys,zh,en,ja
Character/18/name,Reisen,Reisen,レイセン
Character/18/nicknames,铃仙二号,,
Character/19/name,上白泽慧音,Kamishirasawa Keine,上白沢　慧音
Character/19/nicknames,老师,,
Character/1a/name,东风谷早苗,Kotiya Sanae,東風谷　早苗
Character/1a/nicknames,苗爷,,
Character/1b/name,丰聪耳神子,Toyosatomimi no Miko,豊聡耳　神子
Character/1b/nicknames,"太子,二婶子",,
Character/1c/name,二岩猯藏,Hutatsuiwa Mamizou,二ッ岩　マミゾウ
Character/1c/nicknames,大狸子,,
Character/1d/name,今泉影狼,Imaizumi Kagerou,今泉　影狼
Character/1d/nicknames,"马斯克,埃隆马斯克,猫娘",,
Character/1e/name,伊吹萃香,Ibuki Suika,伊吹　萃香
Character/1e/nicknames,西瓜,,
Character/1f/name,八云紫,Yakumo Yukari,八雲　紫
Character/1f/nicknames,"BBA,紫妈,老太婆",,
Character/20/name,八意永琳,Yagokoro Eirin,八意　永琳
Character/20/nicknames,师匠,,
Character/21/name,十六夜咲夜,Izayoi Sakuya,十六夜　咲夜
Character/21/nicknames,"PAD长,女仆长,16",,
Character/22/name,博丽灵梦,Hakurei Reimu,博麗　霊夢
Character/22/nicknames,"红白,赤色杀人魔",,
Character/23/name,古明地恋,Komeiji Koishi,古明地　こいし
Character/23/nicknames,"恋恋,小石头",,
Character/24/name,古明地觉,Komeiji Satori,古明地　さとり
Character/24/nicknames,"小五,⑤",,
Character/25/name,哆来咪·苏伊特,Doremy Sweet,ドレミー・スイート
Character/25/nicknames,123,,
Character/26/name,四季映姬·夜摩仙那度,Shikieiki Yamaxanadu,四季映姫・ヤマザナドゥ
Character/26/nicknames,阎萝王,,
Character/27/name,因幡天为,Inaba Tewi,因幡　てゐ
Character/27/nicknames,"帝帝,腹黑兔,因幡帝,小老帝",,
Character/28/name,圣白莲,Hiziri Byakuren,聖　白蓮
Character/28/nicknames,莲妈,,
Character/29/name,多多良小伞,Tatara Kogasa,多々良　小傘
Character/29/nicknames,,,
Character/2a/name,大妖精,Daiyousei,大妖精
Character/2a/nicknames,大酱,,
Character/2b/name,娜兹玲,Nazrin,ナズーリン
Character/2b/nicknames,老鼠,,
Character/2c/name,宫出口瑞灵,Miyadeguchi Mizuchi,宮出口　瑞霊
Character/2c/nicknames,反狱王,,
Character/2d/name,宫古芳香,Miyako Yoshika,宮古　芳香
Character/2d/nicknames,僵尸,,
Character/2e/name,寅丸星,Toramaru Shou,寅丸　星
Character/2e/nicknames,大师兄,,
Character/2f/name,封兽鵺,Houjuu Nue,封獣　ぬえ
Character/2f/nicknames,,,
Character/30/name,射命丸文,Syameimaru Aya,射命丸　文
Character/30/nicknames,"文文,狗仔文",,
Character/31/name,小恶魔,Little Devil / Koakuma,小悪魔
Character/31/nicknames,图书管理员,,
Character/32/name,小野塚小町,Onozuka Komachi,小野塚　小町
Character/32/nicknames,"死神,乳町",,
Character/33/name,少名针妙丸,Sukuna Shinmyoumaru,少名　針妙丸
Character/33/nicknames,小碗,,
Character/34/name,帕秋莉·诺蕾姬,Patchouli Knowledge,パチュリー・ノーレッジ
Character/34/nicknames,"姆Q,帕琪,图书,香草,广藿香",,
Character/35/name,幽谷响子,Kasodani Kyouko,幽谷　響子
Character/35/nicknames,,,
Character/36/name,摩多罗隐岐奈,Matara Okina,摩多羅　隠岐奈
Character/36/nicknames,"轮椅战神,秘神,乐子神",,
Character/37/name,星熊勇仪,Hoshiguma Yugi,星熊　勇儀
Character/37/nicknames,红有三,,
Character/38/name,村纱水蜜,Murasa Minamitu,村紗　水蜜
Character/38/nicknames,船长,,
